"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36000","0","10","50","0","2020","A","",653202,8587517,713768210472,90081592457,2086552417,1598,83117,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9989,1.6,-955382,-10.0,-5432746703,-0.8,-6627626421,-6.9,-65224907,-3.0,149,10.3,7752,10.3
"36000","1","10","51","0","2020","A","",2735,120308,9746376702,0,0,1558,81012,"",0.72,0.67,0.49,0.00,0.00,0.73,0.73,"",58,2.2,5314,4.6,356909871,3.8,0,0.0,0,0.0,-12,-0.8,-640,-0.8
"36000","1","102","52","0","2020","A","",2735,120308,9746376702,0,0,1558,81012,"",0.72,0.68,0.50,0.00,0.00,0.73,0.73,"",59,2.2,5314,4.6,357004011,3.8,0,0.0,0,0.0,-12,-0.8,-639,-0.8
"36000","1","1021","53","0","2020","A","",1799,44707,3084491976,0,0,1327,68993,"",0.95,1.08,0.88,0.00,0.00,0.82,0.82,"",57,3.3,-465,-1.0,-5188173,-0.2,0,0.0,0,0.0,12,0.9,595,0.9
"36000","1","1022","53","0","2020","A","",3,42,3351403,0,0,1550,80595,"",0.37,0.10,0.08,0.00,0.00,0.74,0.74,"",0,0.0,-1,-2.3,-91856,-2.7,0,0.0,0,0.0,13,0.8,674,0.8
"36000","1","1023","53","0","2020","A","",27,405,59627191,0,0,2829,147107,"",0.56,0.54,0.49,0.00,0.00,0.91,0.91,"",-1,-3.6,-2,-0.5,442567,0.7,0,0.0,0,0.0,32,1.1,1660,1.1
"36000","1","1024","53","0","2020","A","",38,1022,106269985,0,0,2000,104025,"",0.42,0.24,0.21,0.00,0.00,0.87,0.87,"",0,0.0,15,1.5,5041604,5.0,0,0.0,0,0.0,66,3.4,3475,3.5
"36000","1","1025","53","0","2020","A","",46,20209,1783415181,0,0,1697,88247,"",0.54,0.77,0.60,0.00,0.00,0.78,0.78,"",2,4.5,-38,-0.2,74143810,4.3,0,0.0,0,0.0,74,4.6,3826,4.5
"36000","1","1026","53","0","2020","A","",40,1420,87480724,0,0,1185,61595,"",0.42,0.51,0.46,0.00,0.00,0.91,0.91,"",3,8.1,-118,-7.7,-2860087,-3.2,0,0.0,0,0.0,55,4.9,2859,4.9
"36000","1","1027","53","0","2020","A","",5,147,9054812,0,0,1187,61702,"",0.48,0.53,0.43,0.00,0.00,0.81,0.81,"",0,0.0,-10,-6.4,-267914,-2.9,0,0.0,0,0.0,44,3.8,2258,3.8
